Book,Chapter,Verse,Text
,1,1,Niaya o nakatolas a kavoyan sia o pinakayakayapoan ni Jesu Cristo a tayabo ni David a asa ka tayabo ni Abraham.
,1,2,Si Abraham o ama ni Isaac as si Isaac o ama ni Jacob. Si Jacob o ama da Juda kanira no kakakteh na sa a mahahakay.
,1,3,Si Juda a kakovot ni Tamar am ama da Fares kani Zara. Si Fares o ama ni Esrom as si Esrom o ama ni Aram.
,1,4,Si Aram o ama ni Aminadab as si Aminadab o ama ni Naason. Si Naason o ama ni Salmon
,1,5,as si Salmon o ama ni Boaz as no ina na am si Rahab. Si Boaz o ama ni Obed as no ina ni Obed am si Ruth. As si Obed o ama ni Jesse
,1,6,a iya dana so ama no Patol a si David.Si David o ama ni Solomon as no ina ni Solomon am no nakakovot ni Urias.
,1,7,As si Solomon o ama ni Roboam. Si Roboam o ama ni Abias as si Abias o ama ni Asa.
,1,8,Si Asa o ama ni Josafat as si Josafat o ama ni Joram. Si Joram am ama ni Ozias.
,1,9,Si Ozias o ama ni Jotam as si Jotam o ama ni Ahaz. Si Ahaz o ama ni Ezekias.
,1,10,Si Ezekias o ama ni Manases as si Manases o ama ni Amon. Si Amon o ama ni Josias
,1,11,as si Josias o ama ni Jeconias kanira no kakakteh na sa a mahahakay. Nia o tiempo no nakahomis da sira no Babilonia o tawotawo no Israel as kangay da nira a pakovoten do kavahayan da do Babilonia.
,1,12,As do nakahap da sirawri a iyangay do Babilonia am mian o anak ni Jeconias a si Salatiel. Si Salatiel o ama ni Zorobabel
,1,13,as si Zorobabel o ama ni Abiud. Si Abiud o ama ni Eliakim as si Eliakim o ama ni Azor.
,1,14,Si Azor o ama ni Zadoc as si Zadoc o ama ni Akim. Si Akim o ama ni Eliud
,1,15,as si Eliud o ama ni Eleazar. Si Eleazar o ama ni Matan as si Matan o ama ni Jacob
,1,16,as si Jacob o ama ni Jose a kakovot ni Maria as si Maria aya o ina ni Jesus a tawagan so Mesias anmana Cristo a iya so tinovoy no Dios do tana aya.
,1,17,"Dawa katorse a ka henerasion a nakayapo di Abraham a manda di David, as alit na am katorse a ka henerasion o nakayapo di David a manda do nakangay daya do Babilonia no Israelita a pakovoten as katorse pa ka henerasion do nakayapo do nakawara da do Babilonia a manda dana do nakawara ni Jesu Cristo."
,1,18,Niaya o napaparin do nakawara na a tawo ni Jesu Cristo. No ina ni Jesus a si Maria am nachitrato do kapaychakovot da kani Jose amna manam pa kano kapaychakovot as kano kapayasa da asa vahay am mian dana o kovoten ni Maria as no kovoten naya am yapo do Masanto a Espirito.
,1,19,"As si Jose aya a oyod a mapia so dadakay am chinakey nava a ipasnek si Maria do aro a tawo do kapasiay na sia so matalamad a nia so logar a parinyen na, dawa niplano na o kapasiay na sia so oyod a masekreto."
