Book,Chapter,Verse,Text
,1,1,"Inin ēn meꞌ kapapuꞌan Isa Almasihin. Isa Almasi inin tubuꞌ si Daꞌud duk si Daꞌud tubuꞌ Ibrahim. 2-6,aAmban Ibrahim sampay pī pu Sultan Daꞌud, inin meꞌ kapapuꞌan talistahin: Ibrahim sama si Isahak, Isahak sama si Yakub, si Yakub sama si Yuda duk meꞌ pungtinaꞌinen. Si Yuda sama si Peres duk Sera, (saꞌiden si Tamar). Si Peres sama si Hesdon, si Hesdon sama si Aram. Si Aram sama Amminadab, Amminadab sama si Nasson, si Nasson sama si Salmon, si Salmon sama si Bowas (saꞌinen si Rahab), si Bowas sama si Obed (saꞌinen si Rut), si Obed sama si Jesse, si Jesse sama si Sultan Daꞌud."
,1,6,"b-11,Amban si Daꞌud pī si masa pamatahalaꞌ meꞌ aꞌa Israꞌil pī hap lahat Babilonin, inin meꞌ kapapuꞌan talistahin: Si Daꞌud sama si Sulaiman (saꞌinen bakas anda si Uriya), si Sulaiman sama si Robowam, Robowam sama si Abiya, si Abiya sama si Asa, si Asa sama si Josapat. Josapat sama si Joram, si Joram sama si Usiyas, si Usiyas sama si Jotam, si Jotam sama si Ahas, si Ahas sama si Hijikiya, si Hijikiya sama si Manasse, Manasse sama si Amon, si Amon sama si Josiya, si Josiya sama si Jekoniya duk meꞌ pungtinaꞌinen. 12-16,Amban masa pamatahalaꞌ meꞌ aꞌa Israꞌil hap Babilonin, pī si panganak pu si Isahin, inin meꞌ kapapuꞌan talistahin: Jekoniya sama Salati, Salati sama Serubbabel, Serubbabel sama si Abiyud, Abiyud sama si Eliyakim, Eliyakim sama si Asor, si Asor sama si Sadok, si Sadok sama si Akim, si Akim sama si Eliyud, Eliyud sama si Eleyasar, Eleyasar sama si Mattan, si Mattan sama si Yakub, si Yakub sama si Yusup ella si Mariyamin. Si Mariyam saꞌi si Isa inēnan Almasihin."
,1,17,"Manjari niyaꞌ sampuk-ampat pangkat amban Ibrahim sampay si Sultan Daꞌud, duk sampuk-ampat pangkat amban Sultan Daꞌud sampay masa pamatahalaꞌ siye tudju Babilonin duk sampuk-ampat pangkat amban pamatahalaꞌ siye tudju Babilonin sampay panganak pu Almasihin."
,1,18,"Manjari sa inin panganak pu si Isa Almasihin. Saꞌinen Mariyam, taga tunang inēnan si Yusup. Gaꞌ pe siye takawin betteng Mariyam weꞌ balakat Niyawa Tuhanin."
,1,19,"Tunangnen, si Yusup, bentel hinangannen. Hangkan pagkataꞌuhanne weꞌ betteng Mariyam, gaꞌi iye bayaꞌ weꞌ iyaꞌ Mariyam. Hangkan tapikilne magbutas ne hadja siye saguwaꞌ gaꞌi pinabawag."
,1,20,"Sasangne mamikil-mikil inin, paguwaꞌ pu si Yusup malaꞌikat Tuhanin pataginep si iye. Paꞌin malaꞌikatin, ""O Yusup, tubuꞌ Sultan Daꞌud, daꞌa kew magalang-alang ngawinan Mariyam, peggeꞌ puꞌunne betteng weꞌ balakat Niyawa Tuhanin."
,1,21,"Nganak iye iyan lella duk ēnanun iye si Isa (maꞌananen manimbulin) peggeꞌ iye manimbul meꞌ bangsanen amban meꞌ duseden."""
,1,22,"Na, kēmon inin pinalabey supaya tuman bakas pinaꞌin Tuhan pu si Nabi Isaya awwalley, paꞌinne, 23""Niyaꞌ iyan budjang betteng duk nganak iye lella duk inēnan du iye Immanuel."" (Maꞌana Immanuelin - Tuhanin palamud si kite bi.)"
,1,24,"Pagngape si Yusup, tinuhut weꞌ ne pangandaꞌakan malaꞌikatin. Kinawinan weꞌ ne Mariyam."
,1,25,"Saguwaꞌ gaꞌ siye magulid samantaꞌan gaꞌ pe ubus nganak Mariyam. Pagnganak ne Mariyam, lella anaknen duk inēnan iye weꞌ si Yusup si Isa."
,2,1,"Inanakan si Isa si puweblo Betlehem si lahat Yahudiya masa si Herod sultanin. Gaꞌ tiggel, niyaꞌ meꞌ aꞌa tekka pī si puweblo Awrusalam amban lahat silangan. Meꞌ aꞌa inin inadjiꞌan weꞌ de meꞌ poteꞌanin."
,2,2,"Pagtekkade laꞌi magtilew siye, paꞌinde, ""Ingge nakanak baꞌahu inanakanin, iye ujud manjari sultan meꞌ Yahudihin? Peggeꞌ niyaꞌ takite kami poteꞌan paguwaꞌ laꞌi si silangan duk poteꞌan miyaꞌan tandaꞌ weꞌ inanakan ne iye duk pitu kami mudji iye."""
,2,3,"Pagtakale weꞌ Sultan Herod inin, sasew teꞌed pikilannen duk sampay kēmon aꞌa si Awrusalamin sasew du isab."
,2,4,"Dinaꞌak weꞌ sultanin magtipun kēmon meꞌ nakuraꞌ imamin duk meꞌ guru si saraꞌ āgamahin. Manjari tinilew siye weꞌ ne, paꞌinne, ""Antag lahat panganakan pu Almasihin?"""
,2,5,"Paꞌinde, ""Si puweblo Betlehem laꞌi si Yahudiya, peggeꞌ bakas tasulat weꞌ Nabi Mika dem kitab sa inin, 6'O meꞌ aꞌa Betlehem luꞌu si lahat Yahudiya, bisan dikiꞌ lahatbin gaꞌi du kaꞌam diniyawaꞌan si matahan meꞌ nakuraꞌ Yahudihin, peggeꞌ billuꞌu paluwas du dambuwaꞌ nakuraꞌ mangantan meꞌ aꞌakun bangsa Israꞌilin.' """
,2,7,"Pagtakale si Herod inin, pinasan weꞌ ne dinaꞌak pī meꞌ lella amban silangan miyaꞌan, bu binoꞌo siye weꞌ ne magbissā, siye-siye hadja. Tinilew siye weꞌ ne bang sumiyan pangitede paguwaꞌ poteꞌanin. Inakahan iye weꞌ de."
,2,8,"Manjari dinaꞌak ne siye hap Betlehem weꞌ si Herod, paꞌinne, ""Pī kaꞌam, pihahun bi teꞌed nakanakin. Bang takasuwaꞌbi ne nakanakin, akahanun bi ku duk ku isab tapī mudji iye."" 9-10,Manjari, pagubus sultanin missā, lumengngan ne meꞌ aꞌa amban silangan miyaꞌan. Sābude maglengnganin, takitede balik poteꞌan bakas takitede si lahat silanganin. Pagkitede poteꞌanin sinna teꞌed siye manamal. Patuhut siye si poteꞌanin, ubus bu pahali poteꞌanin si atag palaꞌihan nakanakin."
,2,11,"Ubus padiyalem siye si lumaꞌ miyaꞌan duk takitede nakanakin duk saꞌinen Mariyam. Pasujud siye duk pinudji weꞌ de nakanakin. Lukade pangisihanden duk urungande iye bulawan, kamanyan duk isellan bengngi inēnan mira."
,2,12,"Ubus inin inakahan siye weꞌ Tuhanin diyalem taginepde, gaꞌi siye dinaꞌak balik pī pu si Herod. Manjari moleꞌ siye, nuhut lān seddili."
,2,13,"Manjari paglumikut ne siye, paguwaꞌ malaꞌikat Tuhanin pu si Yusup diyalem taginepne, paꞌinne, ""Iyuꞌ sōng daꞌak si Herod piniha nakanakin dinaꞌak pinapatey. Dongaꞌ kew, eddoꞌun nakanakin duk Mariyam, saꞌinen, bu lahi kaꞌam hap lahat Misil. Patennaꞌ kaꞌam laꞌi samantaꞌan gaꞌi pe kaꞌam daꞌakku tahalaꞌ billaꞌi."""
,2,14,"Manjari dongaꞌ ne si Yusup, ineddoꞌ weꞌ ne nakanakin duk Mariyam bu tahalaꞌ ne siye hap lahat Misil sangem miyaꞌan."
,2,15,"Patennaꞌ siye laꞌi sampay matey si Herod. Tuman ne lapal Tuhan tasulat Nabi Hosea dem kitabin, pinaꞌin, ""Daꞌakku pitu anakkun amban lahat Misil."""
,2,16,"Manjari pagkataꞌuhan si Herod weꞌ inakkalan hatiꞌ iye weꞌ meꞌ aꞌa amban silanganin, astel iye manamal. Daꞌakne pinapatey kēmon nakanak lella duwen tahun sampay pe kulang amban duwen tahun umulden laꞌi si lahat Betlehem duk si meꞌ kalahatan matapit si Betlehemin, peggeꞌ bakas inakahan iye weꞌ meꞌ aꞌa amban silanganin bang sumiyan paguwaꞌ poteꞌanin. Ubus pinapatey ne meꞌ mākanakin."
,2,17,"Na, tuman bakas pinaꞌin Nabi Jeremiyahin, paꞌinne, 18""Niyaꞌ suwala takale si lahat Rama magmatey. Nāring teꞌed si Rakel sabab meꞌ anaknen. Gaꞌi iye ngatu pinahemokan peggeꞌ matey ne meꞌ anaknen."""
,2,19,"Manjari pagubus ne matey si Herod, paguwaꞌ ne isab malaꞌikat Tuhanin pu si Yusup pataginep si iye laꞌi si lahat Misil. Paꞌin malaꞌikatin, 20""Dongaꞌ kew, eddoꞌun nakanakin duk Mariyam, saꞌinen, duk balik kaꞌam pī si lahat Israꞌil, peggeꞌ ubus ne matey meꞌ mabayaꞌ mapatey nakanakin."""
,2,21,"Manjari dongaꞌ ne iye ngeddoꞌ nakanakin duk Mariyam, duk balik ne siye pī si lahat Israꞌil."
,2,22,"Saguwaꞌ pagkale si Yusup weꞌ pagantiꞌ magsultan laꞌi si lahat Yahudiya anak si Herodin inēnan Alkilas, tinalew iye hap pī. Inakahan iye balik dem taginepne, dinaꞌak siye pī hap lahat Jalil."
,2,23,"Hangkan hep pī siye laꞌi duk patennaꞌ siye si puweblo inēnan Nasaret. Na, tuman binissā meꞌ kanabihanin sabab Almasi, paꞌinde, ""Inēnan iye aꞌa Nasaret."""
