,spanish,tagalog,english,hiligaynon,bikol,waray,ilocano,cebuano,kapampangan,pangasinense,yakan,ivatan,tausug,yami,tuwali_ifugao,masbateno
spanish,1.0000000000000002,0.02960934510783995,0.0922060467898959,0.050493067125375456,0.06740403955106505,0.05582153940092875,0.04918005070107209,0.04966369961916559,0.0529764143088737,0.0831395143030337,0.08247452684048431,0.13280297164678342,0.04798944470238379,0.09420927891362192,0.05414168465726983,0.06858598382936262
tagalog,0.02960934510783995,1.0000000000000004,0.057093957201363316,0.6957910362219846,0.6018863650596192,0.3873811584034942,0.2050135677640018,0.6648900216420998,0.5804951869534964,0.2927848525260947,0.2436154830697724,0.2631533208977344,0.40183905370344336,0.25458682800029736,0.252274659728124,0.5242076800386982
english,0.0922060467898959,0.057093957201363316,1.0000000000000002,0.047786904322103446,0.058704877268826436,0.07935286853658259,0.03154202792766856,0.04680484064027098,0.060623158675482604,0.12454999678255091,0.07092848609126423,0.06413524310010761,0.04628369936405732,0.060913307169008536,0.05760443090369195,0.045294344214132864
hiligaynon,0.050493067125375456,0.6957910362219846,0.047786904322103446,1.0,0.6432540690992238,0.520705381437746,0.22760539786257727,0.7866277443996147,0.441326251313794,0.3178369281159814,0.2373615297806014,0.3103970634457492,0.389570757481424,0.25511206791536795,0.24713236126721558,0.7126696995664162
bikol,0.06740403955106505,0.6018863650596192,0.058704877268826436,0.6432540690992238,1.0000000000000002,0.4916026428734935,0.23334626033073033,0.6362947539627729,0.4182167377898595,0.39040927816775434,0.30824595874418365,0.4114468449069101,0.4693051778828747,0.31635691813061595,0.38041766408459127,0.7815929434215148
waray,0.05582153940092875,0.3873811584034942,0.07935286853658259,0.520705381437746,0.4916026428734935,1.0,0.20854597534598138,0.48625769573640365,0.24231756820088218,0.29434323969417897,0.2090385946723144,0.2602897980306139,0.47487247747491146,0.22156303233993538,0.39353830833970194,0.5276442203188654
ilocano,0.04918005070107209,0.2050135677640018,0.03154202792766856,0.22760539786257727,0.23334626033073033,0.20854597534598138,1.0000000000000004,0.21149771459646646,0.22267983825598536,0.25112085109892074,0.11743416672046297,0.263881712671444,0.15941782397753176,0.22186798669990362,0.22684070356854594,0.2422141386104096
cebuano,0.04966369961916559,0.6648900216420998,0.04680484064027098,0.7866277443996147,0.6362947539627729,0.48625769573640365,0.21149771459646646,0.9999999999999999,0.4610251126367002,0.29840880081905763,0.2454078993667903,0.29903620993501484,0.39924657819512577,0.2661480476320165,0.27737567664626483,0.6116508091822772
kapampangan,0.0529764143088737,0.5804951869534964,0.060623158675482604,0.441326251313794,0.4182167377898595,0.24231756820088218,0.22267983825598536,0.4610251126367002,1.0000000000000002,0.3053886211745063,0.21188984789049065,0.23204413467593552,0.3383742271678613,0.269550943351338,0.3095175626138009,0.29995282921754535
pangasinense,0.0831395143030337,0.2927848525260947,0.12454999678255091,0.3178369281159814,0.39040927816775434,0.29434323969417897,0.25112085109892074,0.29840880081905763,0.3053886211745063,1.0,0.19855424677922906,0.36115296157416976,0.27772876996761225,0.35277460265838145,0.3259249767851773,0.4161099771371572
yakan,0.08247452684048431,0.2436154830697724,0.07092848609126423,0.2373615297806014,0.30824595874418365,0.2090385946723144,0.11743416672046297,0.2454078993667903,0.21188984789049065,0.19855424677922906,1.0,0.1600169485215861,0.3483066663328888,0.1485998095092336,0.19245794089425455,0.2676051680339066
ivatan,0.13280297164678342,0.2631533208977344,0.06413524310010761,0.3103970634457492,0.4114468449069101,0.2602897980306139,0.263881712671444,0.29903620993501484,0.23204413467593552,0.36115296157416976,0.1600169485215861,1.0000000000000002,0.24670158345078516,0.6593997912764378,0.2721767028850876,0.42103895062009244
tausug,0.04798944470238379,0.40183905370344336,0.04628369936405732,0.389570757481424,0.4693051778828747,0.47487247747491146,0.15941782397753176,0.39924657819512577,0.3383742271678613,0.27772876996761225,0.3483066663328888,0.24670158345078516,0.9999999999999996,0.20696235742488178,0.3722480933340124,0.44332115989841075
yami,0.09420927891362192,0.25458682800029736,0.060913307169008536,0.25511206791536795,0.31635691813061595,0.22156303233993538,0.22186798669990362,0.2661480476320165,0.269550943351338,0.35277460265838145,0.1485998095092336,0.6593997912764378,0.20696235742488178,1.0000000000000002,0.2058798922029692,0.31122948428982217
tuwali_ifugao,0.05414168465726983,0.252274659728124,0.05760443090369195,0.24713236126721558,0.38041766408459127,0.39353830833970194,0.22684070356854594,0.27737567664626483,0.3095175626138009,0.3259249767851773,0.19245794089425455,0.2721767028850876,0.3722480933340124,0.2058798922029692,0.9999999999999999,0.3766854417760824
masbateno,0.06858598382936262,0.5242076800386982,0.045294344214132864,0.7126696995664162,0.7815929434215148,0.5276442203188654,0.2422141386104096,0.6116508091822772,0.29995282921754535,0.4161099771371572,0.2676051680339066,0.42103895062009244,0.44332115989841075,0.31122948428982217,0.3766854417760824,1.0
