Top 250	Frequency
a n		17595
n a		12008
s a		11757
n i		6909
k a		6425
n g		6240
s i		5278
a n g		4848
m a		4462
i n		4332
i y a		3582
g a		3566
n i n		3558
n   s		3266
n   n		3194
.		3189
t a		3158
d a		3087
n   m		2955
a   s		2907
i n d		2877
s i n		2867
i n a		2711
n a g		2703
a   n		2697
m g a		2644
m g		2633
p a		2592
k a n		2547
o n g		2491
y a		2406
a   a		2156
a k a		2092
k o		2017
a s		1973
a r a		1950
n d a		1919
s a i		1850
n   k		1820
a   k		1772
m a n		1708
a   m		1687
i n g		1650
n g a		1650
i   J		1621
a k o		1589
a g a		1588
k i		1579
"		1562
a l a		1530
g a n		1507
y a n		1493
a s i		1486
m o		1468
o n		1463
J e		1450
s u s		1437
n   a		1435
J e s		1372
e s u		1369
d a n		1349
o   n		1335
o   s		1321
a b i		1306
a y		1304
o   a		1266
i n i		1230
s i y		1212
b a		1198
,   "		1193
g   n		1192
i   n		1182
a m o		1175
a   p		1173
n d o		1162
s a k		1158
g   m		1144
o t		1140
g a d		1133
a s a		1122
t a n		1113
k a m		1107
m a g		1104
a   d		1101
g   s		1094
n i y		1071
o ,		1066
h a n		1057
a ,		1053
a d		1031
a r o		1022
a   t		1013
a k		1011
a g s		981
a t a		980
a i y		975
a h a		974
N a		966
a   i		963
s a b		963
a d a		949
a i		946
a i n		945
N		945
l a g		923
a y a		912
o   k		909
d o		905
o g		903
a b o		899
n a n		891
a p a		881
K a		872
l i		865
b i		865
d i		862
a n a		828
A n		818
a w o		813
i   s		812
n   p		807
n ,		805
g   k		798
o s		798
A		797
t a w		777
u s		757
d a i		750
N a g		746
a b a		744
p a g		734
b a n		732
n   d		730
a l		717
a w		717
s   n		711
l a		709
a k i		705
n a b		704
l i n		703
l a n		699
a .		693
a g t		682
a g k		680
i   k		676
s ,		670
s a r		669
,   a		668
h a		667
a n ,		666
u l i		665
r o n		662
K		656
o .		652
. "		648
,   n		640
a p o		638
o d		638
r a n		629
i h a		628
i l i		621
a   b		621
a n .		608
m o n		605
p i n		601
n .		596
u m a		588
k a i		585
g s a		581
n   i		578
a g		576
t   n		574
b i h		567
a m a		566
u n		566
a t o		564
g i		563
g   a		562
u r a		561
g k a		559
n   t		556
n   b		550
s   s		549
k u		549
i t		542
i   t		539
a g -		531
s a n		524
i r i		523
a n o		522
a r i		520
a g d		520
h u l		519
a n i		518
y o		512
k a k		509
S		499
n a s		499
i b o		499
t   s		497
k o n		497
p i		494
o   m		493
k a t		491
b a g		491
m i		491
i s i		490
p a r		490
h a y		488
b o		485
t i n		483
n a p		481
r a m		480
D		479
a m		478
a g h		477
m a y		475
n   g		475
D a		473
u l o		473
h i l		472
k u n		471
s   a		470
a h i		470
S i		469
a l i		469
g   i		465
i   a		464
n a k		464
S a		463
p a n		460
u s ,		460
D i		446
i n u		444
h u		443
a y o		443
i ,		437
i b a		437
b o t		436
M a		435
d u m		432
s i p		430
g i n		428
r o		428
i o s		427
a   l		425
a g p		425
t o		421
d a w		420
a w a		418
