Top 250	Frequency
s a		16792
n g		14491
a n		9759
a n g		9083
k a		8138
g a		6751
u g		6574
n g a		4684
n a		4629
s i		4515
n i		4257
m a		4200
i y a		3971
.		3458
o n		3414
a   m		3404
p a		3362
l a		3152
a   s		3091
a   k		3058
g   m		3000
k a n		2965
y a		2774
m g a		2754
m g		2752
i l a		2607
o n g		2506
t a		2488
i n g		2470
a l a		2463
a n a		2437
a   n		2398
a y		2274
g i		2269
a   a		2229
n   s		2150
m i		2057
u s		1970
m o		1928
k o		1923
a n i		1912
n   n		1834
o   s		1741
n g o		1685
p a g		1656
t a n		1651
a k o		1607
o d		1600
"		1557
a   t		1544
a   p		1540
b a		1499
p a n		1492
i i n		1486
n a n		1460
l a n		1444
a k		1429
u s a		1428
J e		1418
s i y		1416
i n i		1413
h a n		1412
a   i		1391
g   k		1372
g   s		1359
d i		1358
s u s		1355
o   n		1350
J e s		1349
e s u		1347
g   n		1346
i   J		1339
d t o		1306
n i y		1300
n a g		1285
n   k		1284
t o		1270
n a k		1254
a   u		1253
a k a		1248
a y o		1235
m a n		1229
y a n		1217
g o n		1213
g   a		1211
,   "		1186
a t a		1157
g   i		1146
k a m		1128
g   g		1123
o   k		1121
a g		1105
a m o		1076
t i		1068
l i		1064
t a w		1061
a   b		1044
i l i		1033
k i		1022
i y		1021
n i n		1014
a w o		1010
a   g		969
U		964
g   p		961
a l i		952
k o n		940
k i n		939
s i l		938
i m o		937
a ,		933
a h a		924
a d t		920
i t a		919
g a n		911
i n		895
n y o		893
n   a		892
i n y		891
y o		885
g   t		882
o   a		878
U g		872
a h i		867
a m a		855
n   u		848
S		848
u n g		847
A		846
S a		842
d a		841
a w		840
h a		826
a s a		809
s u l		804
n   m		802
S i		801
n i l		801
a   d		790
a w a		783
u b a		782
a .		774
w a		755
g   b		737
y o n		730
h i		723
o t		714
n ,		713
n y a		709
i h a		708
a r o		704
u l o		701
i t u		698
r o n		696
w o		695
n .		692
m a h		686
b u		682
g   u		677
o   u		676
a g -		672
a k i		666
b a n		663
. "		663
i n a		661
i   s		661
o .		656
i n u		656
u h a		655
n a h		649
a g p		646
g p a		645
d i l		641
a t		639
m a g		636
o g		633
w a l		630
n i i		629
D i		627
m a k		623
i p a		620
d   s		617
u t a		616
- a n		611
i k a		610
a n .		606
k a y		604
m o n		602
g   d		601
t i n		600
a s		596
g a y		594
a b a		583
a   l		582
a b o		575
m i i		565
a p a		565
a g k		564
h a t		559
a g h		554
k i t		553
l a y		552
A n		550
a r i		549
o   m		549
t o n		534
b o t		528
a g t		527
g k a		522
n s a		522
n - a		519
t u		518
o ,		517
s u		517
A n g		516
b a l		514
i   k		512
t u b		509
u l t		507
o s		504
M		500
s a n		500
i l		499
s a b		498
i o s		494
i t		494
D i o		492
U n		492
a t o		490
i   n		486
u n		485
b u h		484
l o		482
U n y		481
t a g		478
m a t		469
a d		469
l t i		469
b i		467
g i t		459
k a d		457
u l a		456
g a d		450
a r		450
g h a		441
i s u		440
s   s		427
m a o		424
i s a		424
a g s		423
