Top 250	Frequency
n g		24438
i n g		13745
n a		7926
a n g		7583
a t		7232
a n		6850
k a		6509
l a		4963
y a		4835
i n		4523
.		4299
g   m		3812
m a		3796
k i		3769
k i n		3512
a   k		3204
u n g		3203
d a		3029
a l a		3017
p a		2904
g   a		2863
a n a		2706
y u		2605
n a n		2558
k u		2535
n i		2515
t a		2402
g   k		2333
n i n		2304
l a n		2263
a   n		2152
a r i		2140
d i		2113
b a		2060
m a n		2023
a		1990
r i n		1976
m u		1898
g   p		1865
k a r		1860
t a n		1855
a k a		1799
d i n		1793
a   i		1791
n e		1790
m e		1723
k a n		1708
a l		1703
m i		1634
k a y		1594
g a n		1557
u   k		1547
n   n		1540
g   b		1533
k e		1530
i t		1518
a y u		1510
g   t		1485
J e		1459
n g a		1431
s a		1420
s u s		1408
y a n		1382
a t a		1381
e s u		1379
J e s		1376
a ,		1374
a m a		1349
a b i		1347
a r a		1323
g   s		1302
u s		1290
a s a		1277
i n a		1274
a y a		1234
e n g		1230
i t a		1224
a .		1209
g   d		1204
r i		1192
n u		1181
i n u		1174
a   a		1167
a   m		1143
n a k		1143
a   l		1138
n   k		1137
g   J		1118
a p a		1110
p a n		1102
b a n		1094
a l i		1052
a d		1034
t i		1030
g   i		1023
b a t		1011
t u n		1000
l i		996
a k i		992
d e		987
g   l		986
a k		983
t i n		979
e		968
n   d		962
i a n		947
b a l		947
m a k		939
e k a		912
i b a		909
b i		909
a l u		896
a   d		888
n   a		887
i		862
a b a		862
a n i		856
n y a		843
t   n		824
M		824
a n u		824
l u		822
n e n		817
l i n		817
t a u		813
t u		804
I		803
s a b		803
u   n		792
i   n		781
t   k		777
N		775
k e k		772
i l a		770
a g a		768
u l		766
K a		752
r a		751
u .		741
u a n		736
u ,		730
s a l		728
a k u		716
!		709
s a n		708
u   i		706
a t u		704
t   m		699
M a		697
a s		694
k i t		690
m e t		690
s i		683
l a g		670
p a t		668
I n		666
i   k		663
e t u		657
n   m		657
a r e		656
a   r		653
e l a		653
a p		650
n u n		650
n   y		649
u l i		647
e   k		645
n .		644
i t i		644
A t		639
p a m		626
e   n		623
,   a		620
k a l		618
K		614
D i		612
n   i		608
?		604
k a p		600
g   n		593
u t u		583
A		582
s   k		578
e   i		569
s i n		558
N g		557
k a t		554
k a s		550
l a k		542
m u n		538
i   J		536
u   a		529
a   p		527
N g a		527
n ,		524
r a n		520
r e l		516
m a g		515
a   y		513
E		512
a w a		511
b i a		508
a p i		502
a n .		501
s ,		498
g   e		494
p e		493
u l a		489
g   D		485
t   i		484
l a l		482
n i t		481
p i		480
y u n		477
t   d		475
n a b		475
n a m		472
s .		466
a t i		458
i o s		456
i l i		456
D i o		454
i w a		445
i p a		442
l a t		438
m a l		438
g a		437
s   a		432
b u		431
a m		430
m a t		430
a l e		427
a n ,		422
i k		420
n a ,		414
k   n		411
a   t		410
,   i		406
u m a		406
w a		404
i k a		402
I n y		399
u p a		399
u l u		396
i s a		395
a   b		391
i e		391
,   m		390
a u		389
g a d		385
