Top 250	Frequency
n a		18534
a n		18248
s a		14899
k a		7157
m a		5368
s i		5186
n i		4916
p a		4284
s a n		4227
g a		3961
i y a		3664
a   n		3642
a   s		3631
y a		3619
.		3465
o n		3045
a g		3043
n   n		2834
n a g		2816
a   m		2766
m g a		2763
m g		2753
t a		2744
n   m		2643
a   a		2599
n   s		2574
a y		2558
a   k		2516
d a		2490
i n		2455
g i		2424
m o		2396
a   i		2355
a r a		2318
o   s		2296
k a g		2285
o d		2227
o   n		2184
a g a		2151
g i n		2119
n d a		2100
a k a		2092
d i		2080
s i n		2051
i n d		2039
m a n		1987
a n g		1931
n   k		1887
k o		1852
i y		1785
a   p		1741
i n a		1716
a k		1712
"		1634
a t a		1604
a n a		1490
a k o		1489
p a g		1485
n   a		1478
a m o		1401
l i		1378
i   s		1376
a p a		1375
n   i		1359
y o		1331
i   n		1330
o s		1320
o   k		1309
t o		1307
a b a		1303
s i y		1296
n i y		1292
s a b		1262
J e		1259
o   a		1259
s u s		1255
a l a		1249
n   p		1223
,   "		1215
i   J		1206
J e s		1204
e s u		1202
b a		1200
a s a		1178
l a		1172
a y o		1157
n a k		1141
a y a		1131
l a n		1121
a   t		1113
a m a		1111
m a g		1100
n g a		1097
a b i		1095
a l i		1077
d t o		1065
a d		1057
i y o		1048
t a n		1044
h a n		1044
d   s		1042
a k i		1017
k a y		1016
a   g		1013
k a m		1004
r o		1004
i l i		992
n g		985
u s		966
a   d		961
a t		944
a p o		937
n a n		934
t a w		932
a h a		915
r a		911
b i		911
g   s		904
P		903
a g s		903
a n i		885
g   n		883
. "		878
i t a		871
a   b		869
h a		863
a .		851
o   m		848
a ,		843
k o n		835
N a		827
N		825
e r o		824
m a t		816
P a		797
u n g		797
b a t		790
p a r		780
a s		778
i n i		772
k u		764
a t u		763
i m o		761
o t		754
u h a		747
a   l		744
a m		742
k a t		741
D i		741
s   n		731
a w o		728
o ,		727
u n		726
n   g		722
d i l		706
s a d		699
a w		692
a g k		687
k u n		681
K a		679
k i t		679
t   s		677
w a		674
a g p		674
a n o		672
a d i		670
i h a		670
u l o		668
s   s		664
n o		663
a w a		658
g k a		658
n   t		655
m a k		654
n .		652
m a y		652
a g -		650
n a m		648
p o s		643
K		641
i   k		639
g p a		638
S a		627
A n		623
o .		618
g a n		617
a d t		614
g o d		611
g a y		609
k i		607
t o n		601
d   n		595
p a k		581
n   d		572
g s a		553
G i n		552
y   n		549
k a d		549
s u		544
a s u		541
w a r		540
w o		538
p a t		538
i   a		536
o   p		536
s ,		534
s u r		532
i o s		531
a t o		521
a n .		516
n i n		515
n ,		507
y o d		503
a d a		500
i l a		500
i n s		498
k a s		487
D i o		486
S		485
n   b		484
u g a		483
u a n		481
h a l		480
p a n		479
t i		478
u r u		478
t   n		477
u s a		473
a t i		472
y a n		472
K a y		471
a r i		470
n a b		467
s u g		465
N a g		465
a g t		465
a g h		463
s   k		458
a g o		452
t a p		448
i r i		442
g   m		436
a r		433
G i		431
i d t		431
i m		429
r a n		426
k a n		425
u n o		424
a m u		422
