Top 250	Frequency
a n		10269
a y		6631
n a		6481
e d		5628
t o		5031
s i		4339
t a		4325
.		3649
m a		3542
s a		3341
e n		3203
s o		3189
y a		3144
t a n		3060
d   s		2977
k a		2845
a		2837
n e n		2728
l a		2713
r a y		2681
i n		2662
a r a		2623
d a		2604
o n		2531
a g		2443
a n g		2356
e t		2275
r a		2251
m a n		2185
i k a		2125
y o		2020
a k		2016
n   a		1964
a l a		1868
p a		1850
a d		1756
s i k		1753
a n a		1734
"		1713
o ,		1571
a w a		1553
a k a		1527
o y		1507
n   t		1485
y   a		1455
J e		1449
n g		1411
s u s		1405
J e s		1374
e s u		1371
n   n		1364
a m a		1347
n a n		1342
s a r		1337
n e		1320
a   t		1305
n   s		1281
a   a		1268
i r a		1265
d i		1255
n   m		1233
a g a		1232
e y		1232
a   s		1209
a ,		1203
k a y		1203
e n g		1194
n   i		1181
a b a		1172
a l i		1165
u a n		1152
b a		1150
a   n		1144
,   "		1131
m a y		1126
i r		1121
n g a		1104
i n a		1095
y a n		1089
a y o		1078
o .		1074
n g g		1052
n o		1048
p a n		1046
I		1045
a   m		1043
o d		1036
a l e		1022
a t a		1015
n   J		1013
a m		1013
i n m		1013
k u a		1009
a y a		1005
a t		998
n i		986
n   d		973
b a l		973
k a t		970
,   t		953
m o		951
l a n		947
t o o		945
a t o		938
a n t		935
s a n		930
g g a		907
o   a		896
u s		895
a r i		890
y   m		884
k o		875
a s a		873
y   t		866
a   r		862
g a n		857
a p a		847
o   t		847
I n		846
s a k		829
a k e		828
k a r		816
w a		805
n t o		790
a n e		787
l a y		771
s i a		770
n ,		770
n m a		770
y   k		753
k i		738
a r		736
g a		736
n   k		735
a   k		725
t o ,		725
a .		722
i b a		711
N		698
. "		694
D i		686
n s a		683
y   s		681
n   y		680
A		680
i s i		678
m p a		676
s a y		675
b a t		671
u n g		668
l e t		662
n k u		661
k a s		660
i n g		659
r a n		658
y   d		656
a b i		647
o t o		645
l i		642
a a n		641
i l a		639
i m		638
k a n		638
o   n		634
p i		632
t o .		630
i n e		625
k e y		623
b i		618
g a w		610
n a k		607
d   k		607
l i n		603
a m i		600
y   p		596
t o n		594
t o t		594
a l		593
i t a		588
s ,		582
u l o		579
n g i		576
A g		576
b a g		575
n y a		574
t o y		570
s a l		569
k i n		569
a   p		561
S		558
y   i		549
a k i		547
l a b		547
o   r		544
,   a		536
K a		535
s i n		531
t   s		529
a n ,		528
m i n		524
a   l		523
t   n		514
m b a		514
g   t		513
n   p		511
a   i		510
m e t		508
o   s		507
a s i		502
n .		499
y   n		498
D i o		497
i o s		497
n g e		497
S i		496
o   m		495
g   n		491
i a d		485
l o		484
d   a		482
m a k		481
a p o		480
n   e		479
w a n		475
l a p		474
a p u		473
i   J		472
M a		472
e r		471
,   i		467
i a n		465
n g n		463
u d		460
t   a		460
a n d		459
g n e		454
w a l		449
K		446
p u d		442
a   y		441
k   n		438
b a n		436
t i		436
y   l		433
a g e		432
i m a		432
P a		432
i a k		429
n l a		429
m e		429
