Top 250	Frequency
a n		15760
y a		9269
n a		8715
d i		8655
h i		6230
d a		6001
n a n		5169
a n a		4655
k a		3977
n   d		3865
t a		3753
a n g		3654
a y		3602
.		3441
a d a		3375
k e		3332
o n		3324
o t		3241
a h		3165
m a		3158
m u		2714
u n		2692
d a n		2647
i n		2617
y u		2560
n   n		2097
n a d		1981
n   h		1893
n   m		1864
t e		1802
t a g		1738
a   n		1732
i n a		1722
k a n		1718
h a		1702
m a n		1700
a t		1689
p u		1668
a d		1659
a g u		1628
n g a		1589
J e		1539
n   a		1509
a l i		1506
a k a		1495
a t a		1462
J e s		1457
e s u		1454
s u s		1447
n g		1440
n   t		1405
"		1372
n a h		1365
n   k		1359
u s		1328
d a y		1293
e n		1291
i y a		1226
i d a		1212
k a y		1207
p a		1180
a y u		1178
n a y		1171
d i y		1163
b o		1160
m u n		1150
a   y		1146
a .		1145
a d i		1128
y   "		1101
d a h		1096
g u n		1086
a k		1083
A p u		1075
g a n		1061
u m		1017
D i		1013
u l u		1009
A p		985
m i		977
p a n		975
n   y		972
l a n		971
a   m		971
. "		970
n   i		966
a   a		965
H		962
u w a		952
h a n		947
i o s		937
D i o		935
u h		929
d a k		929
w a n		926
u   D		918
h i y		913
t u		905
i y e		904
t a t		897
n   J		896
e   h		883
o s		880
n g i		877
u n g		860
a   k		848
n i		840
a m a		831
d i d		809
e   d		805
i p a		803
M u		800
t   k		796
Y a		790
a b a		786
a p u		784
u m a		771
K		767
a   i		767
w a		766
i   k		753
i m		752
i l a		750
k a l		744
u g		741
w a d		739
o d		732
i t u		730
t u d		713
p u n		712
i n i		711
u n -		708
l i		705
o n g		703
o l		701
n a l		700
i   m		698
a m		696
a   o		693
a   d		692
n   b		690
k i		688
a   h		687
t a n		686
k u		685
- a n		679
u   y		677
a l a		676
h a -		673
k o n		672
a h i		670
a   t		665
b a		655
u y		651
u d u		647
a y a		644
i d		643
a - o		643
i   t		640
a a n		639
n o m		639
t a k		638
m a k		635
n g u		632
h o d		631
a k u		628
i d i		614
o k		610
t u w		596
,   m		595
n   A		593
H a		592
u d		591
O t		588
M		586
t i		585
u   t		578
i m m		578
g u		578
y a n		575
y u n		575
b a l		571
i   p		562
h i d		560
n t u		559
m a t		559
s   a		556
l u g		556
n i l		553
n   p		551
n g n		551
h i n		551
- o n		546
l i n		545
K a		544
a k o		543
d   d		541
u .		541
a l		540
h   d		539
p i		538
d a m		530
p u l		525
- a p		522
m m a		521
i h		520
n a t		519
e y		517
e t		515
n a .		511
u t t		505
u w e		503
i n g		503
i   n		501
g n g		501
i b o		500
y   k		499
I		497
o h		496
o n a		493
b o n		492
m a l		490
o y		490
g g e		488
a g a		487
d a t		486
a b u		485
p a t		484
- i n		483
g a		480
u   n		480
d i n		471
a l e		471
a l y		468
g   n		467
u l		467
g u l		464
m o		461
l a		457
t   m		457
H i		456
y   a		451
h a y		451
t u t		449
d - a		449
i t		445
y e n		444
a n i		444
K a n		444
n a k		444
