Top 250	Frequency
a n		21280
h a		13150
n g		11344
n g a		10256
g a		9049
h i		8194
n a		5329
k a		5219
h a n		4932
n i		4151
i n		4133
i y a		3950
a   h		3841
g a n		3726
p a		3706
m a		3625
n   n		3403
o n		3349
h i n		3295
y a		3286
.		3137
a   n		3112
m g a		3109
m g		3108
n   m		2808
a y		2661
a   i		2658
a n g		2637
o   h		2627
a   a		2517
n   h		2517
a   m		2382
i r a		2284
i y		2256
n   i		2254
o   n		2209
a r a		2113
r a		2051
m o		2012
d i		2000
t a		1998
i r i		1996
k o		1964
a n a		1937
a k a		1900
a t a		1889
a k		1888
n   p		1841
n   k		1827
p a g		1810
a   k		1808
a k o		1753
n   a		1729
a   t		1720
i n g		1707
g i n		1674
n a g		1660
,   n		1652
b a		1620
"		1583
s u s		1466
g i		1457
t o		1443
h i y		1442
k o n		1434
t a n		1432
a m o		1431
a ,		1426
J e		1416
g   h		1413
l a		1411
J e s		1344
e s u		1344
t i		1344
i n i		1292
d t o		1289
s a		1274
N		1273
i y o		1265
i   J		1243
d a		1232
o d		1213
a l a		1199
k a m		1192
a t		1182
u s		1180
i   n		1179
r i n		1171
,   "		1149
k a n		1144
a g s		1128
i n a		1121
n i y		1101
a   b		1101
m a n		1090
s i r		1088
a w o		1071
i n m		1071
n a n		1063
h i r		1063
n ,		1055
o ,		1055
t a w		1051
a   p		1032
a b a		998
a d t		990
y o		990
d   h		975
m a t		974
N a		929
a w		907
t   h		883
n a k		881
i   h		875
r i		860
b u		837
m a g		835
o   a		818
- a n		816
a w a		815
n   t		811
i r		797
a t o		793
n   b		793
i m o		786
o t		777
i t		773
g a d		772
n m a		771
a k i		770
a .		760
,   k		755
a l i		748
t o n		746
s a n		743
a s a		736
t i n		735
s   h		730
a d		728
K		727
n d i		726
y   n		724
u h a		719
a g p		718
n   d		718
u n d		709
a n ,		707
u m a		696
a g t		695
a   s		690
r a y		687
g s i		686
t u		680
a d a		679
a g		679
a h a		672
. "		669
n .		664
t   n		661
a p a		660
a h i		659
p a k		657
g p a		654
N a g		653
n   g		651
a m a		650
G i n		646
a b o		642
i t a		628
s   n		627
m a k		627
w o		623
i g		621
o   k		620
s ,		619
n g o		619
i n u		619
n a h		613
n g l		612
u n g		611
g k a		610
k a y		608
k i t		606
h a t		605
a s i		602
a m		601
a   d		600
s u		596
o s		595
d i r		593
w a		588
a   l		585
m a y		580
i a n		580
u s a		577
s i		576
i k a		574
i m		573
b u h		571
G i		566
a s		560
a g k		558
a y a		550
b a t		550
g   n		547
n - a		545
w a r		538
y   h		537
l i		536
k i		535
a n .		534
o .		532
r a n		531
l a n		520
n o		520
a g b		516
g l i		514
b i		513
k u		513
a g -		512
o   m		498
k a k		496
u g o		493
g a t		491
l i n		485
y a n		484
k a t		484
a   g		481
t u n		481
l i t		477
p a n		476
y o s		476
D y o		472
u l o		472
D y		469
k i n		468
n   s		461
k a b		460
i n s		455
u g a		447
i   a		446
n   l		445
y a ,		441
H		437
k a d		437
a t u		436
k a l		435
s u g		434
A n		428
k a s		427
