Top 250	Frequency
n a		12582
d o		9942
a m		9756
n o		7954
s o		7883
a		7527
t a		7026
a n		6886
o   a		6830
m a		6772
k a		6455
n i		6211
d a		5721
.		5696
n g		5442
s i		5192
j i		4089
a n g		4039
o		3984
r a		3971
a   n		3955
a n a		3937
y a		3864
t o		3739
o   n		3576
o   t		3168
a   a		3091
a   t		3073
n g a		3060
a   m		3059
t a o		3030
A m		3028
o   k		2994
n   n		2939
i n g		2863
k o		2836
a y		2818
a o		2808
m a n		2760
p a		2742
a   k		2732
e n		2604
a r a		2506
a   d		2454
a   s		2367
o   m		2338
a n i		2315
r a n		2285
m o		2266
i r i		2260
r i n		2183
y a n		2153
n y o		2149
y o		2148
M		2037
a   o		2020
M a		2019
a k a		2003
i r a		1947
n y		1939
i   Y		1935
n   a		1919
a .		1917
k a n		1906
a k e		1770
Y e		1762
n i r		1738
j y		1704
p a n		1700
j y a		1691
Y e s		1652
o .		1648
e s o		1646
s i r		1602
a c i		1551
o n g		1511
m e y		1482
a n o		1475
"		1470
o   d		1459
a t a		1444
c i		1435
a l a		1412
M a n		1411
a h a		1402
a m ,		1384
n   d		1374
w a n		1371
m ,		1369
O		1366
o   j		1364
T a		1351
o   i		1331
n   s		1330
n a n		1326
i   A		1323
g a y		1316
,   "		1298
a p a		1295
A m a		1277
o   p		1268
g   a		1267
m e		1243
p e y		1204
a k		1199
i   n		1189
A		1184
n a k		1173
o   o		1170
. "		1150
o   s		1147
g   s		1141
k e n		1140
a   j		1111
t a n		1101
g   n		1091
S o		1088
y a k		1073
m a c		1071
i p a		1038
a s a		1018
k a p		1013
s a		1005
t e n		1004
m   m		972
i n		957
N o		957
a t e		947
r i		925
i   a		919
a   r		918
c i r		908
i n a		893
a z a		879
o r i		869
n .		866
a w a		861
o r		854
y   n		850
i t a		843
k a r		842
i m a		832
m a k		832
g a n		827
i k a		811
m   a		801
a   y		794
r o		794
k a t		791
T		790
v a		779
n i m		769
a   p		768
a w		768
m a p		766
h a n		765
l a m		757
S		754
r a r		750
o   r		739
y   a		734
n a o		730
e y		729
n y a		720
a r		720
i n y		710
a m o		703
a   i		700
a n .		696
i   o		695
e y n		688
n g e		686
y a .		677
a n c		677
a m a		669
n g o		664
m   n		655
a k m		655
o n o		653
a s		653
s y a		647
n o y		633
r a h		632
i k		626
i p		625
o t a		618
c y a		617
o y o		615
a h e		612
a y a		612
a r o		603
n a .		598
v a z		595
y o n		593
s a n		592
w a k		591
o m a		589
m y a		589
g e n		589
a o .		589
m   o		587
y a m		586
k m a		583
c i t		583
a p		582
e n g		580
z a y		577
y   d		573
w a		571
k a k		566
N		563
n i p		549
t e		548
j i r		548
j i n		537
n c i		530
o   c		528
o m		527
o   y		522
k w a		522
s y		521
y n g		508
a n e		506
k a m		506
c i n		505
a p e		505
a k o		503
o y		491
p e		490
i   m		489
o   v		487
S i		484
a v a		483
t o .		473
g   d		472
i   d		468
a m i		466
a t o		462
r a t		460
a i		459
b o		457
p y a		457
r a w		457
e m		457
l a		455
r w a		444
n e n		442
n n g		435
o ,		433
a k w		433
