spanishtop1k,tagalogtop1k,englishtop1k,hiligaynontop1k,bikoltop1k,waraytop1k,ilocanotop1k,cebuanotop1k,kapampangantop1k,pangasinensetop1k,yakantop1k,ivatantop1k,tausugtop1k,yamitop1k,tuwali_ifugaotop1k,masbatenotop1k
_de,ng_,_th,ng_,an_,an_,ti_,ng_,ng_,an_,_si,_ka,in_,_a_,an_,an_
os_,ang,the,_sa,_sa,nga,iti,ang,ing,ay_,si_,an_,iya,o_a,_na,_na
que,_sa,he_,ang,_na,_ng,_ti,sa_,ang,_na,an_,_na,an_,na_,nan,_sa
ue_,_na,nd_,ga_,ng_,_ha,_a_,_sa,an_,_to,_pa,_a_,_ma,_na,ya_,na_
de_,sa_,_an,sa_,_ka,ga_,_it,_ka,_ka,_si,ang,a_a,_si,an_,_di,_ka
_y_,_ka,and,_ka,_ni,_hi,_ka,ga_,_na,_ta,in_,_ma,_in,_am,ana,sa_
_qu,_an,_to,nga,_an,han,_ma,an_,at_,_sa,_du,no_,ang,_ka,_ya,_ma
el_,iya,to_,_na,ang,_an,_ke,nga,_in,en_,_ma,o_a,_ka,_ma,_da,_an
los,_si,_yo,_ng,na_,_ka,agi,_an,g_m,_ma,iye,na_,sin,ng_,di_,_si
_en,at_,you,_si,_ma,ha_,_da,iya,_ma,tan,_ka,do_,_ni,do_,_hi,san
_el,_ng,d_t,_ma,_si,_na,ada,_ma,_ki,d_s,ne_,_o_,niy,_do,n_d,_pa
es_,g_m,_hi,_an,sa_,iya,an_,_ng,kin,_a_,iya,a_n,_na,_ta,_ka,iya
_lo,_ma,ed_,a_s,iya,a_h,git,_na,a_k,ed_,_me,_do,_ha,so_,ang,a_n
_di,ay_,_he,nag,nin,gan,nga,_si,ung,_ed,me_,aya,ya_,no_,ay_,a_s
_a_,_at,_of,san,in_,_ma,dag,on_,_at,nen,hin,_si,nga,ang,ada,ya_
_la,ga_,ing,an_,n_s,n_n,ana,a_m,na_,ray,uk_,_no,_pa,am_,_an,ga_
as_,na_,of_,ag_,n_n,on_,ang,ug_,ala,ara,ain,a_d,man,_o_,on_,on_
_es,ina,is_,on_,ga_,hin,a_a,_ug,g_a,_ka,duk,a_s,n_m,_ni,_ma,n_n
",_y",",_a",e_t,mga,n_m,_pa,na_,a_s,ana,na_,ye_,o_k,ng_,a_n,_ta,nag
do_,ala,en_,_mg,a_s,a_n,_na,a_k,_la,ang,"n,_",_ni,"a,_",ana,dan,a_m
"s,_",a_k,ll_,la_,ind,mga,_ng,g_m,_ya,man,_iy,_da,_hi,_no,ah_,mga
s_d,ani,_wi,a_i,sin,_mg,ni_,_pa,nan,ika,nin,_di,ha_,o_n,un_,_mg
_co,kan,_wh,ala,ina,ya_,_ni,kan,_pa,_la,han,_as,ga_,_so,hi_,_ni
_Y_,ila,at_,a_m,nag,in_,ga_,_ni,g_k,n_a,ina,ya_,a_s,o_t,n_n,ag_
ndo,_mg,e_w,_pa,a_n,n_m,_pa,mga,la_,et_,n._,_am,a_i,_si,_mu,n_m
"o,_",mga,_be,a_n,mga,a_i,a_n,_mg,_ni,ala,we_,as_,n_h,a_a,nad,a_a
no_,niy,her,kag,_mg,ang,et_,ya_,nin,_da,aka,a_m,n_s,_da,n_h,n_s
en_,_ni,re_,aga,kan,o_h,da_,ila,ya_,ad_,_ba,aka,_ta,a_t,n_m,a_k
est,a_n,_sa,g_m,ong,ay_,en_,ong,lan,sik,uwa,ata,a_k,nga,_ke,ay_
_se,an_,ou_,_gi,ya_,a_a,ken,ing,a_n,_ya,ng_,apa,ila,a_m,da_,a_i
la_,a_a,er_,ing,_pa,n_h,kad,ala,ari,_pa,n_s,am_,ban,tao,tag,ara
_le,a_s,_ha,ay_,a_a,a_m,aka,ana,_di,ana,e_s,ia_,hi_,o_k,a_n,o_s
._Y,y_,ng_,a_a,_ta,_ni,a_t,a_n,man,on_,ban,n_n,a_m,n_n,ina,kag
e_e,nga,n_t,a_k,aka,ira,i_a,la_,_a_,_in,_Is,_pa,iyu,ing,kan,od_
e_l,_pa,him,iya,ara,_iy,a_k,a_a,rin,so_,i_I,_ta,n_k,ao_,man,ni_
ra_,t_s,_in,ila,_da,n_i,_ta,ay_,_da,_so,Isa,en_,amu,man,ot_,_gi
_ha,ing,hat,o_s,nda,o_n,ay_,n_s,_ba,"o,_",_we,_so,ung,a_k,na_,o_n
ent,_ay,",_a",gin,sai,ara,pan,_gi,g_p,awa,_sa,a_o,pa_,ay_,agu,aga
ien,ong,ut_,o_n,n_k,ra_,a_i,_mi,kar,_ra,nga,_sa,a_n,da_,nga,gin
e_d,nan,_no,n_s,a_k,iri,i_J,ani,tan,aka,_ne,sia,un_,en_,_ha,nda
o_d,g_s,as_,_ni,man,ana,ket,n_n,aka,oy_,n_d,ta_,mu_,_ji,_ot,aka
ado,g_k,e_s,mo_,a_m,aka,man,o_s,din,n_t,_aa,ara,kan,ara,ke_,mo_
_no,apa,ere,n_n,ni_,ng_,nna,ngo,a_i,y_a,in.,ang,tau,a_d,_Je,sin
_po,abi,",_""",ya_,ing,ata,aga,pag,yu_,_Je,siy,so_,na_,ta_,n_a,ind
on_,ata,o_t,sil,nga,mo_,nan,tan,kan,sus,aha,ana,n_n,a_s,ali,man
